3493669	Oscar Baldwin	101 Maple St	Cooke	Denton	TX	76201	1	1	2000	1	1	2016	1	1	1	2018	300 Maple St	Cooke	Denton	TX	76201
413917	Luca Whitehead	102 Maple St	Cooke	Denton	TX	76201	2	2	2000	2	2	2016	0								
5962291	Aidan Stein	103 Maple St	Cooke	Denton	TX	76201	3	3	2000	3	3	2016	1	3	3	2018	302 Maple St	Cooke	Denton	TX	76201
7160477	Randy Guerra	104 Maple St	Cooke	Denton	TX	76201	4	4	2000	4	4	2016	0								
9547653	Lindsay Norris	105 Maple St	Cooke	Denton	TX	76201	5	5	2000	5	5	2016	1	5	5	2018	304 Maple St	Cooke	Denton	TX	76201
7341026	Aryana Riggs	106 Maple St	Cooke	Denton	TX	76201	6	6	2000	6	6	2016	0								
6367494	Precious Hanson	107 Maple St	Cooke	Denton	TX	76201	7	7	2000	7	7	2016	1	7	7	2018	306 Maple St	Cooke	Denton	TX	76201
6960513	Elena Howe	108 Maple St	Cooke	Denton	TX	76201	8	8	2000	8	8	2016	0								
239864	Emmalee Hansen	109 Maple St	Cooke	Denton	TX	76201	9	9	2000	9	9	2016	1	9	9	2018	308 Maple St	Cooke	Denton	TX	76201
8336196	Christine Parker	110 Maple St	Cooke	Denton	TX	76201	10	10	2000	10	10	2016	0								
9541898	Martin Morton	111 Maple St	Cooke	Denton	TX	76201	11	11	2000	11	11	2016	0								
7688842	Justice Contreras	112 Maple St	Cooke	Denton	TX	76201	12	12	2000	12	12	2016	1	12	12	2018	311 Maple St	Cooke	Denton	TX	76201
7871842	Tate Davila	113 Maple St	Cooke	Denton	TX	76201	13	1	2001	13	1	2017	0								
7063956	Precious Mejia	114 Maple St	Cooke	Denton	TX	76201	14	2	2001	14	2	2017	1	14	2	2019	313 Maple St	Cooke	Denton	TX	76201
604476	Ross Owens	115 Maple St	Cooke	Denton	TX	76201	15	3	2001	15	3	2017	0								
96957	Wendy Bray	116 Maple St	Cooke	Denton	TX	76201	16	4	2001	16	4	2017	0								
7442437	Sarahi May	117 Maple St	Cooke	Denton	TX	76201	17	5	2001	17	5	2017	0								
490866	Emelia Goodwin	118 Maple St	Cooke	Denton	TX	76201	18	6	2001	18	6	2017	0								
6254581	Larissa Horn	119 Maple St	Cooke	Denton	TX	76201	19	7	2001	19	7	2017	1	19	7	2019	318 Maple St	Cooke	Denton	TX	76201
7758358	Taylor Callahan	120 Maple St	Cooke	Denton	TX	76201	20	8	2001	20	8	2017	1	20	8	2019	319 Maple St	Cooke	Denton	TX	76201
3085759	Fatima Dalton	121 Maple St	Collin	Denton	TX	76201	21	9	2001	21	9	2017	0								
4397252	Camila Stevenson	122 Maple St	Collin	Denton	TX	76201	22	10	2001	22	10	2017	1	22	10	2019	321 Maple St	Collin	Denton	TX	76201
5634714	Shamar Mcdowell	123 Maple St	Collin	Denton	TX	76201	23	11	2001	23	11	2017	0								
583828	Eddie Mitchell	124 Maple St	Collin	Denton	TX	76201	24	12	2001	24	12	2017	0								
5835507	Makayla Key	125 Maple St	Collin	Denton	TX	76201	25	1	2002	25	1	2018	1	25	1	2020	324 Maple St	Collin	Denton	TX	76201
414756	Aimee Ramirez	126 Maple St	Collin	Denton	TX	76201	26	2	2002	26	2	2018	0								
7645339	Britney Ryan	127 Maple St	Collin	Denton	TX	76201	27	3	2002	27	3	2018	1	27	3	2020	326 Maple St	Collin	Denton	TX	76201
